epoch,accuracy,auc,f1_score,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall
0,0.6207625269889832,0.65888512134552,0.620758056640625,0.0010000000474974513,1.0019316673278809,0.6207625269889832,0.6207625269889832,0.8368856310844421,0.8765896558761597,0.8355762362480164,0.7367720007896423,0.8368856310844421,0.8368856310844421
1,0.814032256603241,0.8791151642799377,0.8135513067245483,0.0010000000474974513,0.7251098155975342,0.814032256603241,0.814032256603241,0.8796578049659729,0.9306776523590088,0.8780806064605713,0.5992113351821899,0.8796578049659729,0.8796578049659729
2,0.8633440136909485,0.9204249978065491,0.8623451590538025,0.0010000000474974513,0.607846200466156,0.8633440136909485,0.8633440136909485,0.8813977241516113,0.9356861114501953,0.879794716835022,0.5613351464271545,0.8813977241516113,0.8813977241516113
3,0.8819252252578735,0.9337858557701111,0.8805993795394897,0.0010000000474974513,0.5427733659744263,0.8819252252578735,0.8819252252578735,0.8813977241516113,0.9382696747779846,0.879794716835022,0.5323492288589478,0.8813977241516113,0.8813977241516113
4,0.8835099339485168,0.9378596544265747,0.8821379542350769,0.0010000000474974513,0.5081874132156372,0.8835099339485168,0.8835099339485168,0.8822676539421082,0.9404067397117615,0.8807166814804077,0.5008403658866882,0.8822676539421082,0.8822676539421082
5,0.8852499723434448,0.942520022392273,0.8839653134346008,0.0010000000474974513,0.47750625014305115,0.8852499723434448,0.8852499723434448,0.8824126720428467,0.9416494965553284,0.8808834552764893,0.47525471448898315,0.8824126720428467,0.8824126720428467
6,0.8845353126525879,0.9441128373146057,0.8832817077636719,0.0010000000474974513,0.45286089181900024,0.8845353126525879,0.8845353126525879,0.8818326592445374,0.942489743232727,0.8802798986434937,0.45544272661209106,0.8818326592445374,0.8818326592445374
7,0.8873628973960876,0.9454065561294556,0.8861525058746338,0.0010000000474974513,0.4300473928451538,0.8873628973960876,0.8873628973960876,0.8829926252365112,0.9435520172119141,0.8815411329269409,0.43382033705711365,0.8829926252365112,0.8829926252365112
8,0.8897554874420166,0.9480215907096863,0.8886744976043701,0.0010000000474974513,0.40787550806999207,0.8897554874420166,0.8897554874420166,0.8866173624992371,0.945671021938324,0.8852807283401489,0.41108524799346924,0.8866173624992371,0.8866173624992371
9,0.8903769254684448,0.9499566555023193,0.8892992734909058,0.0010000000474974513,0.3886168599128723,0.8903769254684448,0.8903769254684448,0.8912570476531982,0.9486885666847229,0.8900707960128784,0.3878120183944702,0.8912570476531982,0.8912570476531982
